site,tidal_height,plot_number,coquinas,week,quadrat_id,method
75N,med,7,0,4,bb,revised
75N,med,25,1,4,bb,revised
75N,med,10,0,4,bb,revised
75N,med,17,1,4,bb,revised
75N,high,15,0,4,cc,revised
75N,high,16,0,4,cc,revised
75N,high,24,0,4,cc,revised
75N,high,11,0,4,cc,revised
75N,high,9,0,4,cc,revised
50N,low,14,2,4,dd,revised
50N,low,7,5,4,dd,revised
50N,low,4,6,4,dd,revised
50N,low,22,2,4,dd,revised
50N,low,11,8,4,dd,revised
50N,med,1,0,4,ee,revised
50N,med,12,0,4,ee,revised
50N,med,4,0,4,ee,revised
50N,med,3,0,4,ee,revised
50N,med,25,0,4,ee,revised
50N,high,21,0,4,ff,revised
50N,high,12,0,4,ff,revised
50N,high,7,0,4,ff,revised
50N,high,5,0,4,ff,revised
50N,high,17,0,4,ff,revised
25N,low,6,0,3,gg,revised
25N,low,3,0,3,gg,revised
25N,low,15,0,3,gg,revised
25N,low,21,0,3,gg,revised
25N,low,22,0,3,gg,revised
25N,med,21,2,3,hh,revised
25N,med,3,0,3,hh,revised
25N,med,1,0,3,hh,revised
25N,med,7,0,3,hh,revised
25N,med,13,2,3,hh,revised
25N,high,23,0,3,ii,revised
25N,high,10,0,3,ii,revised
25N,high,11,0,3,ii,revised
25N,high,15,0,3,ii,revised
25N,high,8,0,3,ii,revised
0,low,14,1,3,jj,revised
0,low,1,0,3,jj,revised
0,low,11,0,3,jj,revised
0,low,2,0,3,jj,revised
0,low,25,0,3,jj,revised
0,med,9,0,3,kk,revised
0,med,15,1,3,kk,revised
0,med,19,0,3,kk,revised
0,med,23,0,3,kk,revised
0,med,11,5,3,kk,revised
0,high,17,0,3,ll,revised
0,high,14,0,3,ll,revised
0,high,18,0,3,ll,revised
0,high,12,0,3,ll,revised
0,high,25,0,3,ll,revised
25S,low,24,7,3,mm,revised
25S,low,25,1,3,mm,revised
25S,low,2,17,3,mm,revised
25S,low,18,0,3,mm,revised
25S,low,6,6,3,mm,revised
25S,med,11,15,3,nn,revised
25S,med,1,13,3,nn,revised
25S,med,10,8,3,nn,revised
25S,med,2,27,3,nn,revised
25S,med,7,2,3,nn,revised
25S,high,25,1,3,oo,revised
25S,high,3,1,3,oo,revised
25S,high,9,0,3,oo,revised
25S,high,23,2,3,oo,revised
25S,high,5,0,3,oo,revised
50S,low,11,1,3,pp,revised
50S,low,22,3,3,pp,revised
50S,low,9,0,3,pp,revised
50S,low,5,0,3,pp,revised
50S,low,13,0,3,pp,revised
50S,med,17,4,3,qq,revised
50S,med,21,3,3,qq,revised
50S,med,16,2,3,qq,revised
50S,med,3,3,3,qq,revised
50S,med,1,2,3,qq,revised
50S,high,22,2,3,rr,revised
50S,high,24,0,3,rr,revised
50S,high,20,0,3,rr,revised
50S,high,16,0,3,rr,revised
50S,high,7,1,3,rr,revised
75S,low,3,3,4,ss,revised
75S,low,14,2,4,ss,revised
75S,low,12,4,4,ss,revised
75S,low,5,3,4,ss,revised
75S,low,20,1,4,ss,revised
75S,med,19,0,4,tt,revised
75S,med,7,0,4,tt,revised
75S,med,4,0,4,tt,revised
75S,med,17,0,4,tt,revised
75S,med,6,0,4,tt,revised
75S,high,13,0,4,uu,revised
75S,high,15,0,4,uu,revised
75S,high,22,0,4,uu,revised
75S,high,12,0,4,uu,revised
75S,high,10,0,4,uu,revised
